seqnames	start	end	width	strand	X.AGG.MEAN	X.AGG.COUNT	X.AGG.MAX	X.AGG.MIN
chr1	10001577	10005032	3456	*	55	22	133	1
chr1	10057241	10057455	215	*	1	3	1	1
chr1	10057477	10057674	198	*	1	3	1	1
chr1	10057808	10058155	348	*	37.7561	41	69	1
chr1	10092074	10095661	3588	*	16.5333	15	24	8
chr1	10268810	10273314	4505	*	41.9397	116	93	2
chr1	10457377	10461591	4215	*	11.2353	34	45	1
chr1	10489105	10492468	3364	*	73	6	99	47
chr1	10530750	10533937	3188	*	20.7742	31	41	5
chr1	10533999	10537041	3043	*	9.7333	15	26	1
chr1	10697833	10700300	2468	*	18.5441	68	69	1
chr1	10710028	10710448	421	*	1	1	1	1
chr1	10710915	10711057	143	*	10	6	14	7
chr1	10752862	10756396	3535	*	28.0603	116	117	1
chr1	10764062	10764913	852	*	16.0556	18	59	1
chr1	10852422	10857677	5256	*	56.855	131	255	1
chr1	10895463	10896237	775	*	31.9333	30	65	1
chr1	10948160	10950124	1965	*	37.6379	58	139	1
chr1	11040619	11040997	379	*	39	4	41	37
chr1	11071483	11074953	3471	*	46.1132	53	101	2
chr1	11105555	11106067	513	*	12.6667	3	16	11
chr1	11117899	11122120	4222	*	46.7037	81	89	7
chr1	11158499	11160651	2153	*	36.4231	26	52	4
chr1	11320961	11324131	3171	*	44.4146	41	78	1
chr1	11332765	11334766	2002	*	19.0833	36	49	1
chr1	11538473	11540745	2273	*	43.7304	115	189	1
chr1	11709971	11710910	940	*	31.7895	19	54	8
chr1	11712343	11716698	4356	*	22.2623	61	72	1
chr1	11723946	11725315	1370	*	40.1429	77	115	1
chr1	11740211	11742499	2289	*	69.0317	63	210	1
chr1	11748921	11754053	5133	*	28	97	156	2
chr1	11795013	11798381	3369	*	1	3	1	1
chr1	11821989	11822786	798	*	39.4	5	64	23
chr1	11862269	11868134	5866	*	45.8113	53	100	1
chr1	11918760	11919482	723	*	40.7273	33	75	15
chr1	11958585	11959244	660	*	11.7368	19	40	1
chr1	11958646	11959744	1099	*	11.7368	19	40	1
chr1	11968061	11970031	1971	*	4.4286	7	7	1
chr1	11983965	11987288	3324	*	68.1176	34	237	19
chr1	11993601	11996041	2441	*	18.3143	35	29	4
chr1	12038870	12042224	3355	*	36.4783	46	86	5
chr1	12078803	12080953	2151	*	24.4419	43	115	1
chr1	12122341	12125450	3110	*	41.1936	31	74	11
chr1	12138659	12139927	1269	*	1	1	1	1
chr1	12226675	12227820	1146	*	36.129	31	124	9
chr1	12289140	12292367	3228	*	33.835	103	86	1
chr1	12600062	12600836	775	*	16.3333	21	31	2
chr1	12654674	12655420	747	*	42.4444	9	63	31
chr1	12655556	12655759	204	*	39.9	10	52	14
chr1	12656122	12656475	354	*	34.5	14	86	8
chr1	12674294	12680753	6460	*	74.8214	56	188	1
chr1	12774291	12779842	5552	*	1	2	1	1
chr1	13839382	13840073	692	*	18.4	10	37	1
chr1	13840211	13840674	464	*	59.2941	34	105	4
chr1	13908537	13913553	5017	*	42.25	48	147	2
chr1	14025301	14028527	3227	*	23.8493	73	69	1
chr1	14074292	14077758	3467	*	35.0194	103	116	1
chr1	14218480	14220514	2035	*	28.2195	41	53	5
chr1	14923365	14927837	4473	*	25.2195	82	70	2
chr1	15059169	15060569	1401	*	24.3333	6	53	1
chr1	15249419	15252697	3279	*	50.349	149	122	3
chr1	15416763	15417322	560	*	1.5	2	2	1
chr1	15478011	15482473	4463	*	46.2149	121	101	3
chr1	15512728	15514386	1659	*	15.1429	7	48	7
chr1	15573521	15574527	1007	*	13.0435	23	51	1
chr1	15598868	15599243	376	*	2.2	5	3	1
chr1	15710510	15711937	1428	*	38.5714	7	88	2
chr1	15734708	15738332	3625	*	46.3803	71	111	8
chr1	15848886	15855284	6399	*	31.5227	44	92	3
chr1	15910831	15911871	1041	*	54.1429	49	145	1
chr1	15929409	15930351	943	*	34.6364	11	54	1
chr1	15942257	15946207	3951	*	11.9556	45	27	1
chr1	16009504	16012861	3358	*	34.2967	91	113	2
chr1	16083396	16087421	4026	*	31.7361	72	80	1
chr1	16159503	16163848	4346	*	35.4035	57	158	1
chr1	16173032	16178072	5041	*	32.1121	107	137	1
chr1	16301203	16303286	2084	*	47.0702	57	110	1
chr1	16339175	16340315	1141	*	20.3103	29	55	1
chr1	16374300	16376026	1727	*	2.2857	7	3	1
chr1	16374695	16374919	225	*	1	1	1	1
chr1	16374993	16375700	708	*	2.5	6	3	2
chr1	16398647	16401484	2838	*	32.8667	60	108	1
chr1	16441310	16443091	1782	*	2	2	2	2
chr1	16471815	16473626	1812	*	21.4	5	50	1
chr1	16479101	16483845	4745	*	50.9535	43	151	3
chr1	16493752	16494047	296	*	30	2	30	30
chr1	16494295	16494544	250	*	28.8	20	45	6
chr1	16532161	16535152	2992	*	34.1	30	149	1
chr1	16541916	16545342	3427	*	27.8421	19	56	1
chr1	16552831	16553580	750	*	10.6667	12	29	1
chr1	16554060	16554253	194	*	1	4	1	1
chr1	16562484	16564488	2005	*	55.6471	51	138	1
chr1	16676650	16680374	3725	*	32.375	16	51	1
chr1	16692740	16696042	3303	*	38.4167	12	103	1
chr1	16765949	16769134	3186	*	13.6667	15	35	1
chr1	16824575	16826801	2227	*	39.6	90	88	2
chr1	16846973	16848193	1221	*	47	1	47	47
chr1	16857782	16863737	5956	*	64.5333	15	137	2
chr1	16917409	16954769	37361	*	68.4375	16	219	6
chr1	16938402	16941065	2664	*	35.5714	7	71	9
chr1	16969810	16972135	2326	*	135.0968	31	228	70
chr1	16973879	16975210	1332	*	27	3	27	27
chr1	17018664	17021849	3186	*	15.6721	61	107	1
chr1	17025103	17029136	4034	*	21.9677	31	57	2
chr1	17033102	17035194	2093	*	1	2	1	1
chr1	17197346	17200890	3545	*	61.2857	7	135	6
chr1	17214815	17216667	1853	*	45.1667	24	78	1
chr1	17222589	17223648	1060	*	3.3333	3	4	3
chr1	17239613	17241644	2032	*	31.6804	97	72	1
chr1	17304570	17308521	3952	*	41.0877	57	144	3
chr1	17337377	17338881	1505	*	6.16	25	26	1
chr1	17379199	17381185	1987	*	26.16	25	42	8
chr1	17444727	17446801	2075	*	31.1111	18	66	4
chr1	17759556	17768538	8983	*	25.1944	108	78	1
chr1	17860996	17882819	21824	*	49.3203	128	203	1
chr1	17864609	17868722	4114	*	50.7934	121	203	1
chr1	17887367	17904321	16955	*	16	18	44	1
chr1	18432782	18438868	6087	*	32.3936	94	117	1
chr1	18616402	18627866	11465	*	36	3	50	29
chr1	18711879	18712384	506	*	24.3333	3	27	23
chr1	18947185	18987524	40340	*	31.0436	275	94	1
chr1	18957143	18957849	707	*	45.6333	30	93	10
chr1	18957892	18958510	619	*	40.7917	24	85	22
chr1	19043081	19044021	941	*	48.25	24	79	20
chr1	19110510	19111317	808	*	9.6667	6	11	7
chr1	19227238	19230776	3539	*	39.4833	60	67	3
chr1	19275667	19277107	1441	*	21.5385	13	60	1
chr1	19280860	19284908	4049	*	38.7791	163	118	1
chr1	19534490	19538926	4437	*	32.0755	53	114	2
chr1	19576210	19580860	4651	*	7.7692	13	17	1
chr1	19615259	19615850	592	*	1	4	1	1
chr1	19636734	19640533	3800	*	31.8101	79	118	2
chr1	19777815	19790981	13167	*	10.5455	11	24	1
chr1	19808048	19808980	933	*	16	2	16	16
chr1	19809921	19813634	3714	*	36.4694	49	94	3
chr1	19921925	19925509	3585	*	24.6842	38	72	1
chr1	19969463	19973011	3549	*	45.5043	117	108	1
chr1	19990733	19992941	2209	*	47.1928	83	156	2
chr1	20126001	20127030	1030	*	37.8302	53	124	1
chr1	20207816	20210968	3153	*	80.8205	39	203	6
chr1	20511769	20513762	1994	*	12.2174	23	42	1
chr1	20616920	20618857	1938	*	44	5	59	34
chr1	20669726	20669916	191	*	11	2	11	11
chr1	20692356	20693911	1556	*	14.125	16	22	1
chr1	20809344	20815112	5769	*	42.975	120	176	1
chr1	20833370	20835519	2150	*	18.2857	28	44	1
chr1	20877669	20881539	3871	*	44.1667	102	131	1
chr1	20950038	20971020	20983	*	25.5641	78	77	4
chr1	20959042	20962198	3157	*	24.2568	74	58	4
chr1	20985862	20989713	3852	*	48.2745	51	154	1
chr1	21022797	21023899	1103	*	28.8889	9	42	1
chr1	21043404	21045322	1919	*	48.7917	48	183	2
chr1	21057036	21060706	3671	*	31.1209	91	92	1
chr1	21110689	21115858	5170	*	39.7284	81	98	1
chr1	21500148	21504860	4713	*	47.5412	85	141	2
chr1	21615084	21618317	3234	*	35.5781	64	103	1
chr1	21661489	21661661	173	*	3.8	5	8	1
chr1	21670178	21673889	3712	*	47.8734	79	115	1
chr1	21765269	21768244	2976	*	9.1333	15	30	1
chr1	21834493	21838408	3916	*	48.7949	39	81	21
chr1	21948150	21949934	1785	*	40.7	50	69	3
chr1	21948581	21948959	379	*	48.1538	26	69	3
chr1	21977338	21979354	2017	*	10.25	28	19	1
chr1	21978647	21978862	216	*	18	2	18	18
chr1	21985746	21986470	725	*	37.2632	19	82	7
chr1	21994243	21997510	3268	*	38.0556	54	98	3
chr1	22107291	22111331	4041	*	16.5333	15	44	1
chr1	22140578	22141275	698	*	65.7895	19	121	1
chr1	22262472	22263671	1200	*	28.5	10	31	26
chr1	22264131	22264451	321	*	21.6923	13	38	1
chr1	22350055	22353827	3773	*	19.375	8	50	1
chr1	22378137	22381487	3351	*	56.3725	51	197	1
chr1	22467242	22469584	2343	*	55.1402	107	123	1
chr1	22470219	22470514	296	*	85	2	85	85
chr1	22777423	22780425	3003	*	24.7419	31	64	1
chr1	22889518	22889847	330	*	64.2692	26	135	24
chr1	22890213	22890815	603	*	49.6	10	119	30
chr1	23036695	23037183	489	*	48.7568	37	83	3
chr1	23037592	23038624	1033	*	51.1552	58	92	1
chr1	23344476	23348824	4349	*	25.0238	42	88	3
chr1	23492476	23496771	4296	*	46.64	75	109	6
chr1	23503724	23504919	1196	*	52.6176	34	108	2
chr1	23541986	23545428	3443	*	25.0968	62	79	2
chr1	23667834	23672644	4811	*	48.898	98	147	8
chr1	23693436	23697008	3573	*	21.5263	19	46	1
chr1	23730273	23730524	252	*	11.8	5	55	1
chr1	23750480	23752105	1626	*	37.5	38	83	3
chr1	23808579	23812496	3918	*	60	61	202	5
chr1	23856023	23859075	3053	*	48.9351	77	95	2
chr1	23879771	23887601	7831	*	62.3093	97	172	1
chr1	23894038	23895918	1881	*	3.2353	17	16	1
chr1	23894603	23895582	980	*	3.25	16	16	1
chr1	24017206	24022071	4866	*	43.1429	7	90	1
chr1	24068343	24072265	3923	*	48.5312	64	117	16
chr1	24116213	24120055	3843	*	43.3077	13	107	3
chr1	24125004	24129019	4016	*	14	31	48	1
chr1	24150623	24152595	1973	*	11.6154	13	20	4
chr1	24164462	24165054	593	*	20	1	20	20
chr1	24193615	24195458	1844	*	59.878	41	129	1
chr1	24228836	24230171	1336	*	32.8333	18	44	3
chr1	24284517	24288676	4160	*	51.3699	73	216	8
chr1	24303167	24308233	5067	*	15.9394	33	73	1
chr1	24512218	24515380	3163	*	32.9111	45	80	2
chr1	24645673	24646319	647	*	9	4	18	6
chr1	24647818	24649880	2063	*	56.4182	55	121	2
chr1	24739448	24740500	1053	*	15.7778	9	18	14
chr1	24741217	24743580	2364	*	42.625	8	117	26
chr1	24827599	24831165	3567	*	58.9479	96	207	2
chr1	24881879	24882613	735	*	42.8	10	62	17
chr1	24882755	24882913	159	*	25.3333	6	40	18
chr1	24967354	24972353	5000	*	44.9195	87	228	1
chr1	25071705	25073768	2064	*	48.5119	84	139	1
chr1	25174284	25175886	1603	*	15.1053	38	47	1
chr1	25248522	25266153	17632	*	30.4556	169	120	1
chr1	25255386	25256341	956	*	28.5806	31	92	2
chr1	25256787	25257260	474	*	20.7941	34	90	4
chr1	25257382	25257647	266	*	22	1	22	22
chr1	25257775	25257978	204	*	13.9286	14	28	5
chr1	25258093	25258877	785	*	48.6667	12	62	30
chr1	25258289	25258523	235	*	50.3636	11	62	30
chr1	25557271	25560841	3571	*	25.5714	28	101	1
chr1	25565645	25567666	2022	*	14.25	4	16	9
chr1	25571638	25575734	4097	*	36.2473	93	160	2
chr1	25592595	25594745	2151	*	37	5	37	37
chr1	25662424	25666978	4555	*	29.6667	45	104	1
chr1	25755282	25759437	4156	*	36.7615	109	138	2
chr1	25869673	25871659	1987	*	54.4571	70	235	1
chr1	25891677	25896960	5284	*	3.75	8	8	1
chr1	25941336	25946065	4730	*	30.8786	140	120	1
chr1	26126417	26126553	137	*	122.3636	11	166	86
chr1	26126884	26127774	891	*	102.5	6	106	85
chr1	26144593	26148733	4141	*	45.5926	54	83	10
chr1	26184068	26187384	3317	*	32.0357	28	39	14
chr1	26200509	26203862	3354	*	48.7826	23	101	2
chr1	26230047	26234547	4501	*	35.4355	62	89	1
chr1	26247870	26251172	3303	*	53.3043	69	145	3
chr1	26360509	26363525	3017	*	11.7143	28	25	2
chr1	26372151	26372363	213	*	21	2	21	21
chr1	26372630	26373463	834	*	27.2759	29	73	8
chr1	26436450	26440110	3661	*	32	65	88	2
chr1	26480958	26484304	3347	*	5.2857	7	10	1
chr1	26486858	26489870	3013	*	44.4375	48	137	1
chr1	26490016	26493015	3000	*	37.1923	52	100	5
chr1	26495691	26497602	1912	*	10.6667	15	37	1
chr1	26503990	26504199	210	*	44.6667	6	95	23
chr1	26551082	26553402	2321	*	62.9286	14	80	42
chr1	26559350	26562983	3634	*	86.24	25	138	28
chr1	26604848	26609658	4811	*	59.5556	27	114	1
chr1	26661221	26664252	3032	*	36.2581	31	82	6
chr1	26685260	26688298	3039	*	12.0882	34	24	1
chr1	26734462	26742560	8099	*	36.9143	35	109	1
chr1	26796184	26801456	5273	*	35.9688	32	130	2
chr1	26825935	26829173	3239	*	39.42	50	133	4
chr1	26855046	26859440	4395	*	69.0206	97	150	19
chr1	26944698	26949338	4641	*	42.122	41	127	2
chr1	27017871	27028826	10956	*	27.9268	164	107	1
chr1	27112795	27116690	3896	*	58.7436	39	133	1
chr1	27151910	27155059	3150	*	39.5412	85	185	1
chr1	27190044	27193063	3020	*	29.1379	29	56	2
chr1	27215369	27217554	2186	*	37.25	24	58	3
chr1	27224909	27228461	3553	*	4.25	12	7	2
chr1	27246985	27250426	3442	*	43.5652	46	114	2
chr1	27284763	27288483	3721	*	56.2632	38	126	1
chr1	27319102	27323197	4096	*	34.0656	61	100	1
chr1	27333182	27340307	7126	*	66.675	40	258	4
chr1	27358211	27358348	138	*	32	1	32	32
chr1	27480461	27482135	1675	*	33.3333	6	46	6
chr1	27559615	27563325	3711	*	17.56	50	41	1
chr1	27647505	27650683	3179	*	24.15	20	47	1
chr1	27664765	27729681	64917	*	33.3436	259	173	1
chr1	27668483	27668762	280	*	13.3333	3	18	4
chr1	27674712	27679260	4549	*	43.2222	63	173	1
chr1	27683904	27684097	194	*	18.3333	6	23	16
chr1	27686107	27688093	1987	*	36.4483	29	129	3
chr1	27691216	27694804	3589	*	32.5085	59	100	1
chr1	27709281	27709769	489	*	1	1	1	1
chr1	27717302	27720789	3488	*	30.697	33	94	2
chr1	27815425	27817276	1852	*	25.0625	32	47	4
chr1	27851317	27856417	5101	*	31.9459	37	105	1
chr1	27883705	27884337	633	*	1	2	1	1
chr1	27893949	27899778	5830	*	33.2727	33	62	4
chr1	27900899	27903309	2411	*	17.3019	53	81	1
chr1	27914786	27946976	32191	*	41.8596	114	114	1
chr1	27919281	27920976	1696	*	1	1	1	1
chr1	27927561	27934623	7063	*	45.1889	90	114	2
chr1	27941258	27942329	1072	*	34	13	73	1
chr1	27960206	27961972	1767	*	34.3148	54	113	4
chr1	27985770	27986565	796	*	60.3684	38	106	3
chr1	28051160	28054373	3214	*	30.3226	31	109	1
chr1	28098230	28101503	3274	*	30.7037	27	105	2
chr1	28156251	28159534	3284	*	38.7419	31	106	6
chr1	28198581	28200448	1868	*	53.6071	28	102	1
chr1	28239973	28241648	1676	*	5.875	8	7	4
chr1	28261145	28265542	4398	*	24.5	2	32	17
chr1	28261146	28262966	1821	*	24.5	2	32	17
chr1	28285588	28287795	2208	*	48.6522	46	131	3
chr1	28412938	28416451	3514	*	49.5	4	60	39
chr1	28558247	28560050	1804	*	6.25	4	8	1
chr1	28561301	28564743	3443	*	7.7778	9	20	1
chr1	28584709	28588808	4100	*	48.7703	74	109	1
chr1	28654397	28657414	3018	*	3.8421	19	10	1
chr1	28695042	28698358	3317	*	17	27	48	1
chr1	28844208	28846397	2190	*	62.623	61	136	3
chr1	28878701	28880844	2144	*	89.6	10	118	2
chr1	28905408	28910114	4707	*	27.28	25	75	1
chr1	28918716	28919789	1074	*	31.0455	44	62	1
chr1	28967685	28971164	3480	*	44.75	12	187	2
chr1	28974109	28976017	1909	*	41.4286	7	63	1
chr1	28993898	28997361	3464	*	24.186	43	51	5
